beneito: 26.97 TrueSkill (mu 30.22, sigma 1.08), 111 kills - 81 deaths
NiKo: 26.96 TrueSkill (mu 29.38, sigma 0.81), 1276 kills - 1090 deaths
coldzera: 26.95 TrueSkill (mu 29.41, sigma 0.82), 1560 kills - 1280 deaths
COLDYY1: 26.94 TrueSkill (mu 29.47, sigma 0.84), 437 kills - 384 deaths
B1ad3: 26.91 TrueSkill (mu 29.28, sigma 0.79), 511 kills - 573 deaths
laggeR: 26.89 TrueSkill (mu 31.31, sigma 1.47), 42 kills - 40 deaths
NAF-FLY: 26.85 TrueSkill (mu 29.34, sigma 0.83), 897 kills - 786 deaths
jOELZ: 26.81 TrueSkill (mu 29.24, sigma 0.81), 512 kills - 412 deaths
Maniac: 26.81 TrueSkill (mu 29.20, sigma 0.80), 452 kills - 506 deaths
wusung: 26.81 TrueSkill (mu 32.40, sigma 1.86), 28 kills - 29 deaths
tease: 26.78 TrueSkill (mu 29.19, sigma 0.81), 386 kills - 419 deaths
jks: 26.77 TrueSkill (mu 29.20, sigma 0.81), 616 kills - 547 deaths
MuGGe: 26.74 TrueSkill (mu 32.15, sigma 1.80), 13 kills - 19 deaths
JW: 26.70 TrueSkill (mu 29.09, sigma 0.80), 2086 kills - 2005 deaths
zhokiNg: 26.69 TrueSkill (mu 29.25, sigma 0.85), 323 kills - 276 deaths
no_one: 26.69 TrueSkill (mu 30.60, sigma 1.30), 56 kills - 53 deaths
Tsogoo: 26.69 TrueSkill (mu 29.21, sigma 0.84), 334 kills - 307 deaths
d@rklord: 26.64 TrueSkill (mu 29.12, sigma 0.83), 253 kills - 271 deaths
downie: 26.63 TrueSkill (mu 29.15, sigma 0.84), 276 kills - 227 deaths
jdm64: 26.63 TrueSkill (mu 29.14, sigma 0.84), 1745 kills - 1546 deaths
FalleN: 26.62 TrueSkill (mu 29.05, sigma 0.81), 1354 kills - 1211 deaths
atter: 26.62 TrueSkill (mu 29.15, sigma 0.85), 622 kills - 509 deaths
peelk: 26.60 TrueSkill (mu 31.38, sigma 1.59), 29 kills - 18 deaths
Tebri: 26.60 TrueSkill (mu 30.67, sigma 1.36), 56 kills - 43 deaths
Xizt: 26.59 TrueSkill (mu 28.96, sigma 0.79), 967 kills - 949 deaths
jR: 26.57 TrueSkill (mu 28.95, sigma 0.79), 541 kills - 483 deaths
ZOREE: 26.55 TrueSkill (mu 28.94, sigma 0.80), 395 kills - 343 deaths
liTTle: 26.54 TrueSkill (mu 29.27, sigma 0.91), 188 kills - 160 deaths
akioni: 26.54 TrueSkill (mu 29.49, sigma 0.98), 79 kills - 81 deaths
wallax: 26.52 TrueSkill (mu 30.76, sigma 1.42), 29 kills - 32 deaths
NEY: 26.51 TrueSkill (mu 28.95, sigma 0.81), 324 kills - 331 deaths
kalle: 26.49 TrueSkill (mu 28.90, sigma 0.80), 331 kills - 273 deaths
michi: 26.49 TrueSkill (mu 30.72, sigma 1.41), 62 kills - 56 deaths
TuKoN: 26.48 TrueSkill (mu 28.94, sigma 0.82), 183 kills - 217 deaths
Independent: 26.47 TrueSkill (mu 29.75, sigma 1.09), 88 kills - 84 deaths
Kryptonite: 26.46 TrueSkill (mu 29.53, sigma 1.02), 60 kills - 51 deaths
kIMERA: 26.45 TrueSkill (mu 29.10, sigma 0.88), 121 kills - 95 deaths
izzatR: 26.42 TrueSkill (mu 29.13, sigma 0.90), 138 kills - 125 deaths
splashske: 26.42 TrueSkill (mu 28.92, sigma 0.83), 244 kills - 199 deaths
reltuC: 26.40 TrueSkill (mu 28.88, sigma 0.83), 1554 kills - 1539 deaths
Spiidi: 26.40 TrueSkill (mu 28.79, sigma 0.80), 1173 kills - 1110 deaths
NEO: 26.34 TrueSkill (mu 28.70, sigma 0.79), 1445 kills - 1469 deaths
dERZKIY: 26.34 TrueSkill (mu 28.74, sigma 0.80), 196 kills - 217 deaths
nkl: 26.33 TrueSkill (mu 28.78, sigma 0.82), 890 kills - 995 deaths
SAGGERTON: 26.32 TrueSkill (mu 28.72, sigma 0.80), 475 kills - 439 deaths
jkaem: 26.31 TrueSkill (mu 28.69, sigma 0.79), 1130 kills - 1012 deaths
Maikelele: 26.25 TrueSkill (mu 28.62, sigma 0.79), 1332 kills - 1351 deaths
Sys: 26.25 TrueSkill (mu 28.72, sigma 0.82), 430 kills - 310 deaths
darti: 26.24 TrueSkill (mu 28.70, sigma 0.82), 494 kills - 528 deaths
S0tF1k: 26.22 TrueSkill (mu 28.64, sigma 0.80), 304 kills - 258 deaths
aizy: 26.21 TrueSkill (mu 28.59, sigma 0.79), 1571 kills - 1393 deaths
Micke: 26.21 TrueSkill (mu 30.05, sigma 1.28), 36 kills - 44 deaths
berg: 26.20 TrueSkill (mu 28.68, sigma 0.83), 168 kills - 205 deaths
ptr: 26.19 TrueSkill (mu 28.66, sigma 0.82), 323 kills - 281 deaths
Styff: 26.13 TrueSkill (mu 30.69, sigma 1.52), 39 kills - 40 deaths
denis: 26.12 TrueSkill (mu 28.51, sigma 0.80), 1474 kills - 1597 deaths
Domsterr: 26.12 TrueSkill (mu 28.83, sigma 0.91), 177 kills - 159 deaths
DavCost: 26.11 TrueSkill (mu 28.53, sigma 0.81), 274 kills - 328 deaths
m1kkis: 26.10 TrueSkill (mu 28.47, sigma 0.79), 296 kills - 231 deaths
chrisJ: 26.09 TrueSkill (mu 28.47, sigma 0.79), 1499 kills - 1420 deaths
friberg: 26.05 TrueSkill (mu 28.43, sigma 0.80), 692 kills - 832 deaths
Nefan: 26.01 TrueSkill (mu 29.08, sigma 1.02), 126 kills - 113 deaths
ShahZaM: 26.00 TrueSkill (mu 28.42, sigma 0.81), 791 kills - 700 deaths
shox: 25.94 TrueSkill (mu 28.34, sigma 0.80), 1781 kills - 1662 deaths
FrostMisty: 25.91 TrueSkill (mu 28.36, sigma 0.81), 458 kills - 401 deaths
nex: 25.91 TrueSkill (mu 28.29, sigma 0.79), 1689 kills - 1558 deaths
Mir: 25.91 TrueSkill (mu 28.34, sigma 0.81), 553 kills - 502 deaths
Andersen: 25.90 TrueSkill (mu 30.96, sigma 1.69), 23 kills - 28 deaths
Hiko: 25.87 TrueSkill (mu 28.31, sigma 0.81), 1155 kills - 990 deaths
busta: 25.87 TrueSkill (mu 28.96, sigma 1.03), 111 kills - 77 deaths
flusha: 25.83 TrueSkill (mu 28.23, sigma 0.80), 2224 kills - 1845 deaths
XELLOW: 25.81 TrueSkill (mu 28.94, sigma 1.04), 63 kills - 50 deaths
Ex6TenZ: 25.80 TrueSkill (mu 28.19, sigma 0.80), 1420 kills - 1519 deaths
lmbt: 25.79 TrueSkill (mu 30.80, sigma 1.67), 15 kills - 24 deaths
noobstR: 25.75 TrueSkill (mu 30.95, sigma 1.73), 32 kills - 35 deaths
kUtA: 25.75 TrueSkill (mu 29.19, sigma 1.15), 30 kills - 45 deaths
advent: 25.71 TrueSkill (mu 28.18, sigma 0.82), 230 kills - 238 deaths
Zyppe: 25.71 TrueSkill (mu 28.10, sigma 0.80), 250 kills - 232 deaths
maRky: 25.70 TrueSkill (mu 29.65, sigma 1.32), 30 kills - 39 deaths
ano: 25.68 TrueSkill (mu 28.56, sigma 0.96), 107 kills - 79 deaths
SKYTTEN: 25.67 TrueSkill (mu 28.24, sigma 0.86), 186 kills - 175 deaths
VIILegione: 25.65 TrueSkill (mu 28.16, sigma 0.84), 133 kills - 142 deaths
mouz: 25.60 TrueSkill (mu 28.26, sigma 0.89), 322 kills - 294 deaths
META: 25.56 TrueSkill (mu 29.49, sigma 1.31), 50 kills - 33 deaths
SmithZz: 25.55 TrueSkill (mu 27.97, sigma 0.81), 1565 kills - 1674 deaths
fnx: 25.54 TrueSkill (mu 27.92, sigma 0.79), 830 kills - 787 deaths
FANAT ROCKA: 25.52 TrueSkill (mu 27.97, sigma 0.81), 156 kills - 160 deaths
pyth: 25.50 TrueSkill (mu 27.90, sigma 0.80), 641 kills - 647 deaths
